name,address,website,lat,lng,drive_distance,drive_time
Allen Samuels Chrysler Dodge Jeep RAM Oxford,"2201 University Ave, Oxford, MS 38655, USA",https://www.allensamuelsoxford.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,34.361862699999996,-89.5000172,466 km,4 hours 41 mins
Eaton Chevrolet GMC,"527 W Madison St, Houston, MS 38851, USA",https://www.eatongmc.com/,33.8958908,-89.0096799,446 km,4 hours 37 mins
Oxford Toyota,"435A MS-6, Oxford, MS 38655, USA",https://www.oxfordtoyota.com/,34.359775299999995,-89.5828567,476 km,4 hours 47 mins
Barnes Crossing Chevrolet GMC,"717 Carter Ave, New Albany, MS 38652, USA",https://www.barnescrossingchevrolet.com/,34.483551299999995,-89.0175598,422 km,4 hours 14 mins
Belk Ford Inc.,"447 MS-6, Oxford, MS 38655, USA",https://www.belkford.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp,34.359812,-89.5841375,473 km,4 hours 46 mins
Barnes Crossing Ford,"713 Carter Ave, New Albany, MS 38652, USA",https://www.barnescrossingford.com/?utm_source=gmb&utm_medium=organic,34.4842817,-89.0168503,422 km,4 hours 14 mins
Cannon Nissan of Oxford,"479 MS-6, Oxford, MS 38655, USA",http://www.cannonnissanofoxford.com/?utm_campaign=gmb&utm_medium=organic&utm_source=local,34.359062,-89.5899093,475 km,4 hours 47 mins
Farrow-Ward Ford Inc,"1524 City Ave N, Ripley, MS 38663, USA",https://www.farrow-wardford.com/,34.7488483,-88.9441174,414 km,4 hours 20 mins
Jim Keras Subaru Hacks Cross,"3940 Hacks Cross Rd, Memphis, TN 38125, USA",https://www.subarumemphishackscross.com/?utm_campaign=google_my_business&utm_medium=organic&utm_source=google,35.0416336,-89.7952423,475 km,4 hours 54 mins
Roadshow BMW,"405 N Germantown Pkwy, Cordova, TN 38018, USA",https://www.roadshowbmw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,35.1366017,-89.79729189999999,522 km,4 hours 54 mins
